Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
11/17/14,DH_DS16,0,0.000,0.000,0.000,,0.000
11/17/14,DH_RS16,0,0.000,0.000,0.000,,0.000
11/17/14,OTHER16,0,0.000,0.000,0.000,,0.000
11/17/14,RH_DS16,0,0.000,0.000,0.000,,0.000
11/17/14,RH_RS16,0,0.000,0.000,0.000,,0.000
11/18/14,DH_DS16,0,0.000,0.000,0.000,,0.000
11/18/14,DH_RS16,0,0.000,0.000,0.000,,0.000
11/18/14,OTHER16,0,0.000,0.000,0.000,,0.000
11/18/14,RH_DS16,0,0.000,0.000,0.000,,0.000
11/18/14,RH_RS16,0,0.000,0.000,0.000,,0.000
11/19/14,DH_DS16,0,0.000,0.000,0.000,,0.000
11/19/14,DH_RS16,0,0.000,0.000,0.000,,0.000
11/19/14,OTHER16,0,0.000,0.000,0.000,,0.000
11/19/14,RH_DS16,0,0.000,0.000,0.000,,0.000
11/19/14,RH_RS16,0,0.000,0.000,0.000,,0.000
11/20/14,DH_DS16,0,0.000,0.000,0.000,,0.000
11/20/14,DH_RS16,0,0.000,0.000,0.000,,0.000
11/20/14,OTHER16,0,0.000,0.000,0.000,,0.000
11/20/14,RH_DS16,0,0.000,0.000,0.000,,0.000
11/20/14,RH_RS16,0,0.000,0.000,0.000,,0.000
11/21/14,DH_DS16,0,0.000,0.000,0.000,,0.000
11/21/14,DH_RS16,0,0.000,0.000,0.000,,0.000
11/21/14,OTHER16,0,0.000,0.000,0.000,,0.000
11/21/14,RH_DS16,1,0.525,0.525,0.525,0.525,0.525
11/21/14,RH_RS16,0,0.000,0.000,0.000,,0.000
11/22/14,DH_DS16,20,1.000,0.050,0.050,0.050,0.050
11/22/14,DH_RS16,20,1.000,0.050,0.050,0.050,0.050
11/22/14,OTHER16,10,0.400,0.040,0.040,0.040,0.040
11/22/14,RH_DS16,21,6.375,0.301,0.311,0.304,0.311
11/22/14,RH_RS16,10,5.750,0.575,0.575,0.575,0.575
