Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
01/24/16,CLIN_NOM,0,0.000,0.000,0.000,,0.000
01/24/16,DROF_NOM,0,0.000,0.000,0.000,,0.000
01/24/16,SAND_NOM,0,0.000,0.000,0.000,,0.000
01/25/16,CLIN_NOM,113,77.166,0.625,0.750,0.683,0.650
01/25/16,DROF_NOM,183,8.362,0.001,0.330,0.046,0.047
01/25/16,SAND_NOM,359,122.355,0.240,0.400,0.341,0.325
01/26/16,CLIN_NOM,"1,849","1,389.036",0.650,0.840,0.751,0.840
01/26/16,DROF_NOM,"1,345",51.856,0.020,0.048,0.039,0.040
01/26/16,SAND_NOM,"1,059",293.072,0.261,0.325,0.277,0.270
01/27/16,CLIN_NOM,376,269.107,0.685,0.767,0.716,0.685
01/27/16,DROF_NOM,368,17.741,0.040,0.055,0.048,0.055
01/27/16,SAND_NOM,250,66.971,0.260,0.276,0.268,0.260
01/28/16,CLIN_NOM,171,124.102,0.685,0.782,0.726,0.685
01/28/16,DROF_NOM,405,18.683,0.040,0.060,0.046,0.040
01/28/16,SAND_NOM,240,63.683,0.260,0.279,0.265,0.260
01/29/16,CLIN_NOM,150,106.298,0.695,0.773,0.709,0.700
01/29/16,DROF_NOM,362,17.400,0.040,0.100,0.048,0.045
01/29/16,SAND_NOM,397,103.574,0.260,0.265,0.261,0.264
01/30/16,CLIN_NOM,10,6.961,0.691,0.699,0.696,0.691
01/30/16,DROF_NOM,8,0.362,0.045,0.047,0.045,0.047
01/30/16,SAND_NOM,8,2.082,0.260,0.262,0.260,0.262
01/31/16,CLIN_NOM,67,48.077,0.692,0.772,0.718,0.750
01/31/16,DROF_NOM,170,7.633,0.042,0.050,0.045,0.050
01/31/16,SAND_NOM,219,53.256,0.240,0.276,0.243,0.240
02/01/16,CLIN_NOM,544,409.827,0.695,0.837,0.753,0.747
02/01/16,DROF_NOM,743,18.386,0.001,0.059,0.025,0.021
02/01/16,SAND_NOM,778,187.986,0.210,0.280,0.242,0.226
02/02/16,CLIN_NOM,204,162.944,0.760,0.838,0.799,0.800
02/02/16,DROF_NOM,254,6.135,0.020,0.028,0.024,0.026
02/02/16,SAND_NOM,372,77.025,0.195,0.226,0.207,0.195
02/03/16,CLIN_NOM,667,534.100,0.800,0.824,0.801,0.800
02/03/16,DROF_NOM,615,17.214,0.025,0.034,0.028,0.028
02/03/16,SAND_NOM,720,125.675,0.102,0.197,0.175,0.179
02/04/16,CLIN_NOM,5,3.805,0.761,0.761,0.761,0.761
02/04/16,DROF_NOM,6,0.199,0.031,0.044,0.033,0.031
02/04/16,SAND_NOM,448,85.590,0.185,0.210,0.191,0.210
02/05/16,CLIN_NOM,226,178.786,0.761,0.795,0.791,0.795
02/05/16,DROF_NOM,423,11.557,0.026,0.031,0.027,0.026
02/05/16,SAND_NOM,575,122.780,0.210,0.244,0.214,0.220
02/06/16,CLIN_NOM,33,25.399,0.758,0.793,0.770,0.793
02/06/16,DROF_NOM,226,6.512,0.026,0.029,0.029,0.029
02/06/16,SAND_NOM,120,28.957,0.217,0.247,0.241,0.220
02/07/16,CLIN_NOM,170,130.039,0.750,0.800,0.765,0.750
02/07/16,DROF_NOM,339,9.433,0.026,0.030,0.028,0.030
02/07/16,SAND_NOM,502,129.222,0.210,0.281,0.257,0.281
02/08/16,CLIN_NOM,35,26.564,0.755,0.783,0.759,0.755
02/08/16,DROF_NOM,97,2.661,0.027,0.030,0.027,0.029
02/08/16,SAND_NOM,53,14.156,0.219,0.269,0.267,0.219
02/09/16,CLIN_NOM,23,17.154,0.720,0.777,0.746,0.720
02/09/16,DROF_NOM,18,0.540,0.030,0.030,0.030,0.030
02/09/16,SAND_NOM,11,2.422,0.220,0.222,0.220,0.222
02/10/16,CLIN_NOM,138,104.260,0.732,0.780,0.756,0.740
02/10/16,DROF_NOM,130,4.212,0.031,0.037,0.032,0.031
02/10/16,SAND_NOM,66,15.148,0.226,0.248,0.230,0.227
02/11/16,CLIN_NOM,43,31.921,0.740,0.774,0.742,0.773
02/11/16,DROF_NOM,75,2.465,0.031,0.033,0.033,0.033
02/11/16,SAND_NOM,65,14.755,0.227,0.227,0.227,0.227
02/12/16,CLIN_NOM,318,238.399,0.740,0.770,0.750,0.770
02/12/16,DROF_NOM,255,7.937,0.026,0.037,0.031,0.037
02/12/16,SAND_NOM,119,27.962,0.227,0.239,0.235,0.239
02/13/16,CLIN_NOM,60,44.950,0.720,0.760,0.749,0.720
02/13/16,DROF_NOM,20,0.705,0.035,0.036,0.035,0.036
02/13/16,SAND_NOM,16,3.735,0.232,0.234,0.233,0.232
02/14/16,CLIN_NOM,11,8.318,0.725,0.768,0.756,0.725
02/14/16,DROF_NOM,23,0.839,0.036,0.039,0.036,0.037
02/14/16,SAND_NOM,294,66.385,0.001,0.232,0.226,0.001
02/15/16,CLIN_NOM,85,63.483,0.740,0.751,0.747,0.741
02/15/16,DROF_NOM,33,1.225,0.036,0.041,0.037,0.037
02/15/16,SAND_NOM,224,52.425,0.220,0.242,0.234,0.242
02/16/16,CLIN_NOM,100,73.521,0.724,0.741,0.735,0.725
02/16/16,DROF_NOM,100,3.654,0.035,0.037,0.037,0.035
02/16/16,SAND_NOM,106,25.481,0.240,0.247,0.240,0.240
02/17/16,CLIN_NOM,41,29.738,0.702,0.733,0.725,0.702
02/17/16,DROF_NOM,310,11.737,0.036,0.040,0.038,0.036
02/17/16,SAND_NOM,238,59.262,0.230,0.280,0.249,0.280
02/18/16,CLIN_NOM,341,250.308,0.700,0.747,0.734,0.747
02/18/16,DROF_NOM,183,7.416,0.036,0.047,0.041,0.036
02/18/16,SAND_NOM,72,18.441,0.236,0.280,0.256,0.243
02/19/16,CLIN_NOM,285,202.901,0.705,0.714,0.712,0.705
02/19/16,DROF_NOM,932,42.579,0.036,0.051,0.046,0.048
02/19/16,SAND_NOM,482,118.693,0.241,0.250,0.246,0.248
02/20/16,CLIN_NOM,"2,081","1,555.954",0.700,0.900,0.748,0.869
02/20/16,DROF_NOM,597,25.456,0.037,0.095,0.043,0.037
02/20/16,SAND_NOM,"1,098",196.207,0.081,0.255,0.179,0.150
02/21/16,CLIN_NOM,968,839.538,0.829,0.940,0.867,0.855
02/21/16,DROF_NOM,495,20.121,0.037,0.045,0.041,0.037
02/21/16,SAND_NOM,790,88.538,0.103,0.119,0.112,0.103
02/22/16,CLIN_NOM,38,33.262,0.869,0.887,0.875,0.870
02/22/16,DROF_NOM,246,9.111,0.035,0.046,0.037,0.037
02/22/16,SAND_NOM,196,18.797,0.079,0.103,0.096,0.079
02/23/16,CLIN_NOM,121,106.388,0.875,0.884,0.879,0.884
02/23/16,DROF_NOM,359,16.567,0.037,0.049,0.046,0.049
02/23/16,SAND_NOM,199,15.849,0.077,0.083,0.080,0.080
02/24/16,CLIN_NOM,268,237.601,0.872,0.925,0.887,0.890
02/24/16,DROF_NOM,773,35.338,0.039,0.050,0.046,0.041
02/24/16,SAND_NOM,584,45.100,0.069,0.081,0.077,0.070
02/25/16,CLIN_NOM,618,558.359,0.880,0.924,0.903,0.880
02/25/16,DROF_NOM,335,14.753,0.040,0.050,0.044,0.046
02/25/16,SAND_NOM,436,32.703,0.059,0.091,0.075,0.075
02/26/16,CLIN_NOM,467,410.297,0.870,0.900,0.879,0.890
02/26/16,DROF_NOM,387,17.459,0.040,0.050,0.045,0.040
02/26/16,SAND_NOM,845,69.494,0.073,0.095,0.082,0.090
02/27/16,CLIN_NOM,342,297.681,0.859,0.879,0.870,0.870
02/27/16,DROF_NOM,709,28.402,0.039,0.045,0.040,0.039
02/27/16,SAND_NOM,"1,798",177.287,0.088,0.100,0.099,0.100
02/28/16,CLIN_NOM,609,532.501,0.870,0.877,0.874,0.874
02/28/16,DROF_NOM,269,10.772,0.039,0.046,0.040,0.039
02/28/16,SAND_NOM,"1,080",95.960,0.080,0.100,0.089,0.089
02/29/16,CLIN_NOM,578,508.510,0.875,0.885,0.880,0.875
02/29/16,DROF_NOM,438,17.862,0.039,0.046,0.041,0.041
02/29/16,SAND_NOM,708,58.457,0.075,0.085,0.083,0.085
03/01/16,CLIN_NOM,780,686.246,0.875,0.895,0.880,0.880
03/01/16,DROF_NOM,689,27.427,0.039,0.040,0.040,0.039
03/01/16,SAND_NOM,"1,738",144.140,0.075,0.093,0.083,0.080
03/02/16,CLIN_NOM,593,540.294,0.879,0.947,0.911,0.881
03/02/16,DROF_NOM,243,9.817,0.039,0.045,0.040,0.039
03/02/16,SAND_NOM,302,22.308,0.049,0.081,0.074,0.081
03/03/16,CLIN_NOM,848,738.174,0.829,0.877,0.870,0.870
03/03/16,DROF_NOM,536,24.625,0.040,0.060,0.046,0.043
03/03/16,SAND_NOM,"1,094",106.643,0.081,0.130,0.097,0.085
03/04/16,CLIN_NOM,332,293.092,0.880,0.888,0.883,0.884
03/04/16,DROF_NOM,199,10.022,0.042,0.100,0.050,0.048
03/04/16,SAND_NOM,171,13.112,0.070,0.099,0.077,0.085
03/05/16,CLIN_NOM,826,731.017,0.882,0.888,0.885,0.883
03/05/16,DROF_NOM,299,13.390,0.042,0.088,0.045,0.088
03/05/16,SAND_NOM,743,60.215,0.044,0.100,0.081,0.100
03/06/16,CLIN_NOM,32,28.315,0.883,0.885,0.885,0.885
03/06/16,DROF_NOM,0,0.000,0.000,0.000,,0.088
03/06/16,SAND_NOM,9,0.642,0.051,0.074,0.071,0.074
03/07/16,CLIN_NOM,258,227.782,0.881,0.889,0.883,0.889
03/07/16,DROF_NOM,64,2.879,0.044,0.046,0.045,0.044
03/07/16,SAND_NOM,210,16.500,0.065,0.084,0.079,0.065
03/08/16,CLIN_NOM,228,203.618,0.873,0.908,0.893,0.873
03/08/16,DROF_NOM,27,1.191,0.044,0.045,0.044,0.044
03/08/16,SAND_NOM,370,26.680,0.045,0.118,0.072,0.118
03/09/16,CLIN_NOM,223,195.191,0.869,0.880,0.875,0.880
03/09/16,DROF_NOM,10,0.422,0.042,0.043,0.042,0.043
03/09/16,SAND_NOM,115,13.691,0.110,0.120,0.119,0.120
03/10/16,CLIN_NOM,187,161.509,0.830,0.880,0.864,0.880
03/10/16,DROF_NOM,5,0.215,0.043,0.043,0.043,0.043
03/10/16,SAND_NOM,657,72.916,0.100,0.136,0.111,0.100
03/11/16,CLIN_NOM,5,4.200,0.840,0.840,0.840,0.840
03/11/16,DROF_NOM,5,0.216,0.043,0.044,0.043,0.043
03/11/16,SAND_NOM,33,4.368,0.120,0.137,0.132,0.137
03/12/16,CLIN_NOM,0,0.000,0.000,0.000,,0.840
03/12/16,DROF_NOM,9,0.396,0.044,0.044,0.044,0.044
03/12/16,SAND_NOM,49,7.092,0.142,0.145,0.145,0.145
03/13/16,CLIN_NOM,2,1.705,0.836,0.869,0.853,0.869
03/13/16,DROF_NOM,79,3.372,0.042,0.045,0.043,0.042
03/13/16,SAND_NOM,351,50.768,0.121,0.145,0.145,0.145
03/14/16,CLIN_NOM,442,354.999,0.759,0.869,0.803,0.759
03/14/16,DROF_NOM,"1,611",132.414,0.042,0.100,0.082,0.080
03/14/16,SAND_NOM,694,89.403,0.107,0.150,0.129,0.150
03/15/16,CLIN_NOM,"1,193","1,007.362",0.758,0.913,0.844,0.913
03/15/16,DROF_NOM,"1,010",145.635,0.080,0.240,0.144,0.080
03/15/16,SAND_NOM,"1,962",158.931,0.009,0.170,0.081,0.020
03/16/16,CLIN_NOM,478,433.310,0.870,0.930,0.907,0.920
03/16/16,DROF_NOM,721,68.480,0.080,0.095,0.095,0.095
03/16/16,SAND_NOM,386,13.962,0.007,0.071,0.036,0.026
03/17/16,CLIN_NOM,467,424.225,0.900,0.913,0.908,0.913
03/17/16,DROF_NOM,378,24.570,0.065,0.065,0.065,0.065
03/17/16,SAND_NOM,650,31.732,0.022,0.070,0.049,0.022
03/18/16,CLIN_NOM,837,764.223,0.913,0.918,0.913,0.913
03/18/16,DROF_NOM,161,10.264,0.050,0.084,0.064,0.084
03/18/16,SAND_NOM,192,5.158,0.021,0.057,0.027,0.057
03/19/16,CLIN_NOM,141,126.966,0.900,0.904,0.900,0.900
03/19/16,DROF_NOM,141,8.441,0.055,0.060,0.060,0.060
03/19/16,SAND_NOM,189,8.608,0.037,0.058,0.046,0.040
03/20/16,CLIN_NOM,123,110.701,0.900,0.901,0.900,0.900
03/20/16,DROF_NOM,124,7.087,0.055,0.060,0.057,0.056
03/20/16,SAND_NOM,146,8.775,0.040,0.073,0.060,0.042
03/21/16,CLIN_NOM,77,70.444,0.900,0.920,0.915,0.919
03/21/16,DROF_NOM,344,18.945,0.055,0.078,0.055,0.055
03/21/16,SAND_NOM,337,14.663,0.042,0.110,0.044,0.044
03/22/16,CLIN_NOM,83,74.700,0.900,0.900,0.900,0.900
03/22/16,DROF_NOM,14,0.784,0.056,0.056,0.056,0.056
03/22/16,SAND_NOM,15,0.660,0.044,0.044,0.044,0.044
03/23/16,CLIN_NOM,3,2.726,0.900,0.913,0.909,0.913
03/23/16,DROF_NOM,3,0.168,0.056,0.056,0.056,0.056
03/23/16,SAND_NOM,3,0.133,0.044,0.045,0.044,0.044
03/24/16,CLIN_NOM,120,107.458,0.893,0.901,0.895,0.894
03/24/16,DROF_NOM,114,6.384,0.056,0.056,0.056,0.056
03/24/16,SAND_NOM,12,0.560,0.045,0.051,0.047,0.051
03/25/16,CLIN_NOM,105,95.102,0.904,0.911,0.906,0.911
03/25/16,DROF_NOM,102,4.132,0.040,0.041,0.041,0.041
03/25/16,SAND_NOM,116,5.993,0.051,0.063,0.052,0.054
03/26/16,CLIN_NOM,135,117.260,0.850,0.904,0.869,0.850
03/26/16,DROF_NOM,142,5.822,0.041,0.041,0.041,0.041
03/26/16,SAND_NOM,56,3.859,0.064,0.069,0.069,0.069
03/27/16,CLIN_NOM,0,0.000,0.000,0.000,,0.850
03/27/16,DROF_NOM,0,0.000,0.000,0.000,,0.041
03/27/16,SAND_NOM,0,0.000,0.000,0.000,,0.069
03/28/16,CLIN_NOM,282,240.160,0.850,0.852,0.852,0.850
03/28/16,DROF_NOM,282,11.563,0.041,0.042,0.041,0.041
03/28/16,SAND_NOM,282,32.430,0.115,0.115,0.115,0.115
03/29/16,CLIN_NOM,0,0.000,0.000,0.000,,0.850
03/29/16,DROF_NOM,13,0.533,0.041,0.041,0.041,0.041
03/29/16,SAND_NOM,102,12.235,0.116,0.120,0.120,0.116
03/30/16,CLIN_NOM,13,11.400,0.876,0.877,0.877,0.877
03/30/16,DROF_NOM,13,0.534,0.041,0.042,0.041,0.041
03/30/16,SAND_NOM,13,1.079,0.083,0.083,0.083,0.083
03/31/16,CLIN_NOM,358,313.966,0.877,0.877,0.877,0.877
03/31/16,DROF_NOM,154,5.626,0.021,0.039,0.037,0.022
03/31/16,SAND_NOM,220,20.916,0.085,0.126,0.095,0.126
04/01/16,CLIN_NOM,101,88.208,0.840,0.878,0.873,0.840
04/01/16,DROF_NOM,110,2.432,0.022,0.024,0.022,0.023
04/01/16,SAND_NOM,1,0.099,0.099,0.099,0.099,0.099
