Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
11/17/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/17/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/18/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/18/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/19/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/19/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/20/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/20/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/21/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/21/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/22/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/22/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/23/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/23/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/24/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/24/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/25/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/25/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/26/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/26/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/27/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/27/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/28/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/28/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/29/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/29/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
11/30/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
11/30/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
12/01/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
12/01/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
12/02/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
12/02/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
12/03/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
12/03/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
12/04/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
12/04/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
12/05/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
12/05/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
12/06/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
12/06/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
12/07/14,UDEM16_VS,0,0.000,0.000,0.000,,0.000
12/07/14,UREP16_VS,0,0.000,0.000,0.000,,0.000
