Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
11/17/14,DEM16_WTA,0,0.000,0.000,0.000,,0.000
11/17/14,REP16_WTA,0,0.000,0.000,0.000,,0.000
11/18/14,DEM16_WTA,0,0.000,0.000,0.000,,0.000
11/18/14,REP16_WTA,0,0.000,0.000,0.000,,0.000
11/19/14,DEM16_WTA,0,0.000,0.000,0.000,,0.000
11/19/14,REP16_WTA,20,10.000,0.500,0.500,0.500,0.500
11/20/14,DEM16_WTA,109,59.950,0.550,0.550,0.550,0.550
11/20/14,REP16_WTA,20,9.440,0.470,0.474,0.472,0.474
11/21/14,DEM16_WTA,11,6.020,0.547,0.550,0.547,0.550
11/21/14,REP16_WTA,22,10.114,0.451,0.463,0.460,0.451
11/22/14,DEM16_WTA,7,3.840,0.540,0.550,0.549,0.550
11/22/14,REP16_WTA,10,4.540,0.454,0.454,0.454,0.454
11/23/14,DEM16_WTA,35,19.105,0.545,0.546,0.546,0.545
11/23/14,REP16_WTA,67,30.398,0.450,0.455,0.454,0.455
11/24/14,DEM16_WTA,30,16.740,0.558,0.558,0.558,0.558
11/24/14,REP16_WTA,11,5.024,0.454,0.460,0.457,0.454
11/25/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
11/25/14,REP16_WTA,0,0.000,0.000,0.000,,0.454
11/26/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
11/26/14,REP16_WTA,0,0.000,0.000,0.000,,0.454
11/27/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
11/27/14,REP16_WTA,0,0.000,0.000,0.000,,0.454
11/28/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
11/28/14,REP16_WTA,0,0.000,0.000,0.000,,0.454
11/29/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
11/29/14,REP16_WTA,3,1.365,0.455,0.455,0.455,0.455
11/30/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
11/30/14,REP16_WTA,1,0.455,0.455,0.455,0.455,0.455
12/01/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/01/14,REP16_WTA,0,0.000,0.000,0.000,,0.455
12/02/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/02/14,REP16_WTA,3,1.410,0.470,0.470,0.470,0.470
12/03/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/03/14,REP16_WTA,0,0.000,0.000,0.000,,0.470
12/04/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/04/14,REP16_WTA,0,0.000,0.000,0.000,,0.470
12/05/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/05/14,REP16_WTA,0,0.000,0.000,0.000,,0.470
12/06/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/06/14,REP16_WTA,0,0.000,0.000,0.000,,0.470
12/07/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/07/14,REP16_WTA,0,0.000,0.000,0.000,,0.470
12/08/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/08/14,REP16_WTA,20,9.380,0.469,0.469,0.469,0.469
12/09/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/09/14,REP16_WTA,0,0.000,0.000,0.000,,0.469
12/10/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/10/14,REP16_WTA,1,0.480,0.480,0.480,0.480,0.480
12/11/14,DEM16_WTA,0,0.000,0.000,0.000,,0.558
12/11/14,REP16_WTA,10,4.790,0.479,0.479,0.479,0.479
12/12/14,DEM16_WTA,26,13.556,0.520,0.526,0.521,0.520
12/12/14,REP16_WTA,47,22.760,0.480,0.485,0.484,0.485
12/13/14,DEM16_WTA,20,10.400,0.520,0.520,0.520,0.520
12/13/14,REP16_WTA,0,0.000,0.000,0.000,,0.485
12/16/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/16/14,REP16_WTA,0,0.000,0.000,0.000,,0.461
12/17/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/17/14,REP16_WTA,0,0.000,0.000,0.000,,0.461
12/18/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/18/14,REP16_WTA,30,14.540,0.484,0.485,0.485,0.485
12/19/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/19/14,REP16_WTA,0,0.000,0.000,0.000,,0.485
12/20/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/20/14,REP16_WTA,0,0.000,0.000,0.000,,0.485
12/21/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/21/14,REP16_WTA,0,0.000,0.000,0.000,,0.485
12/22/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/22/14,REP16_WTA,0,0.000,0.000,0.000,,0.485
12/23/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/23/14,REP16_WTA,0,0.000,0.000,0.000,,0.485
12/24/14,DEM16_WTA,0,0.000,0.000,0.000,,0.520
12/24/14,REP16_WTA,0,0.000,0.000,0.000,,0.485
12/25/14,DEM16_WTA,10,5.100,0.510,0.510,0.510,0.510
12/25/14,REP16_WTA,30,14.600,0.485,0.490,0.487,0.490
12/26/14,DEM16_WTA,0,0.000,0.000,0.000,,0.510
12/26/14,REP16_WTA,0,0.000,0.000,0.000,,0.490
12/27/14,DEM16_WTA,0,0.000,0.000,0.000,,0.510
12/27/14,REP16_WTA,0,0.000,0.000,0.000,,0.490
12/28/14,DEM16_WTA,0,0.000,0.000,0.000,,0.510
12/28/14,REP16_WTA,0,0.000,0.000,0.000,,0.490
12/29/14,DEM16_WTA,30,16.000,0.530,0.540,0.533,0.540
12/29/14,REP16_WTA,0,0.000,0.000,0.000,,0.490
12/30/14,DEM16_WTA,0,0.000,0.000,0.000,,0.540
12/30/14,REP16_WTA,20,9.460,0.473,0.473,0.473,0.473
12/31/14,DEM16_WTA,0,0.000,0.000,0.000,,0.540
12/31/14,REP16_WTA,0,0.000,0.000,0.000,,0.473
01/01/15,DEM16_WTA,0,0.000,0.000,0.000,,0.540
01/01/15,REP16_WTA,0,0.000,0.000,0.000,,0.473
01/02/15,DEM16_WTA,0,0.000,0.000,0.000,,0.540
01/02/15,REP16_WTA,20,9.700,0.485,0.485,0.485,0.485
01/03/15,DEM16_WTA,0,0.000,0.000,0.000,,0.540
01/03/15,REP16_WTA,0,0.000,0.000,0.000,,0.485
01/04/15,DEM16_WTA,0,0.000,0.000,0.000,,0.540
01/04/15,REP16_WTA,0,0.000,0.000,0.000,,0.485
