Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
01/24/16,CARS_NOM,0,0.000,0.000,0.000,,0.000
01/24/16,CRUZ_NOM,0,0.000,0.000,0.000,,0.000
01/24/16,RROF_NOM,0,0.000,0.000,0.000,,0.000
01/24/16,RUBI_NOM,0,0.000,0.000,0.000,,0.000
01/24/16,TRUM_NOM,0,0.000,0.000,0.000,,0.000
01/25/16,CARS_NOM,250,0.640,0.000,0.010,0.003,0.009
01/25/16,CRUZ_NOM,441,104.610,0.051,0.255,0.237,0.207
01/25/16,RROF_NOM,335,54.590,0.111,0.500,0.163,0.166
01/25/16,RUBI_NOM,204,39.102,0.052,0.318,0.192,0.230
01/25/16,TRUM_NOM,207,82.315,0.383,0.500,0.398,0.401
01/26/16,CARS_NOM,494,2.014,0.003,0.009,0.004,0.004
01/26/16,CRUZ_NOM,598,129.992,0.200,0.248,0.217,0.248
01/26/16,RROF_NOM,509,85.328,0.130,0.185,0.168,0.140
01/26/16,RUBI_NOM,593,154.456,0.200,0.400,0.260,0.265
01/26/16,TRUM_NOM,779,319.046,0.375,0.441,0.410,0.375
01/27/16,CARS_NOM,316,1.086,0.003,0.007,0.003,0.007
01/27/16,CRUZ_NOM,318,67.610,0.200,0.230,0.213,0.200
01/27/16,RROF_NOM,396,63.614,0.150,0.178,0.161,0.178
01/27/16,RUBI_NOM,388,102.794,0.251,0.275,0.265,0.251
01/27/16,TRUM_NOM,251,95.581,0.380,0.382,0.381,0.380
01/28/16,CARS_NOM,615,1.797,0.001,0.005,0.003,0.001
01/28/16,CRUZ_NOM,464,89.574,0.150,0.225,0.193,0.160
01/28/16,RROF_NOM,627,96.721,0.150,0.170,0.154,0.170
01/28/16,RUBI_NOM,470,142.470,0.255,0.340,0.303,0.300
01/28/16,TRUM_NOM,960,389.141,0.375,0.549,0.405,0.549
01/29/16,CARS_NOM,516,1.889,0.002,0.005,0.004,0.002
01/29/16,CRUZ_NOM,249,34.193,0.105,0.160,0.137,0.131
01/29/16,RROF_NOM,251,40.677,0.135,0.172,0.162,0.135
01/29/16,RUBI_NOM,211,57.972,0.260,0.300,0.275,0.300
01/29/16,TRUM_NOM,302,139.994,0.407,0.536,0.464,0.460
01/30/16,CARS_NOM,222,0.650,0.002,0.003,0.003,0.002
01/30/16,CRUZ_NOM,13,1.764,0.120,0.158,0.136,0.158
01/30/16,RROF_NOM,16,2.406,0.150,0.151,0.150,0.151
01/30/16,RUBI_NOM,13,3.651,0.270,0.317,0.281,0.317
01/30/16,TRUM_NOM,10,4.600,0.460,0.460,0.460,0.460
